127.0.0.1, 2019-08-02 11:39:27, GET, /autorizador/static/js/jquery.js, HTTP/1.1, 200, 0.000981
127.0.0.1, 2019-08-02 11:39:27, GET, /autorizador/static/css/calendar.css, HTTP/1.1, 200, 0.000792
127.0.0.1, 2019-08-02 11:39:27, GET, /autorizador/static/js/calendar.js, HTTP/1.1, 200, 0.000824
127.0.0.1, 2019-08-02 11:39:27, GET, /autorizador/static/js/web2py.js, HTTP/1.1, 200, 0.000496
127.0.0.1, 2019-08-02 11:39:27, GET, /autorizador/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000847
127.0.0.1, 2019-08-02 11:39:27, GET, /autorizador/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000315
127.0.0.1, 2019-08-02 11:39:27, GET, /autorizador/static/images/background.jpg, HTTP/1.1, 404, 0.000272
127.0.0.1, 2019-08-02 11:39:27, GET, /autorizador/static/images/favicon.png, HTTP/1.1, 200, 0.000249
127.0.0.1, 2019-08-02 11:39:27, GET, /autorizador/static/images/favicon.ico, HTTP/1.1, 200, 0.000666
127.0.0.1, 2019-08-02 11:39:43, GET, /, HTTP/1.1, 303, 0.000952
127.0.0.1, 2019-08-02 11:39:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.019284
127.0.0.1, 2019-08-02 11:39:43, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000184
127.0.0.1, 2019-08-02 11:43:15, GET, /, HTTP/1.1, 303, 0.000233
127.0.0.1, 2019-08-02 11:43:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.015067
127.0.0.1, 2019-08-02 11:43:15, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000822
127.0.0.1, 2019-08-02 11:43:15, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000630
127.0.0.1, 2019-08-02 11:43:15, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000443
127.0.0.1, 2019-08-02 11:43:15, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000709
127.0.0.1, 2019-08-02 11:43:15, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000506
127.0.0.1, 2019-08-02 11:43:15, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000981
127.0.0.1, 2019-08-02 11:43:15, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000571
127.0.0.1, 2019-08-02 11:43:15, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000575
127.0.0.1, 2019-08-02 11:43:15, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001123
127.0.0.1, 2019-08-02 11:43:16, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000508
127.0.0.1, 2019-08-02 11:43:16, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000338
127.0.0.1, 2019-08-02 11:43:16, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000264
127.0.0.1, 2019-08-02 13:01:53, GET, /, HTTP/1.1, 303, 0.000277
127.0.0.1, 2019-08-02 13:01:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.025253
127.0.0.1, 2019-08-02 13:01:53, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000672
127.0.0.1, 2019-08-02 13:01:53, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000985
127.0.0.1, 2019-08-02 13:01:53, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001483
127.0.0.1, 2019-08-02 13:01:53, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000662
127.0.0.1, 2019-08-02 13:01:53, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001342
127.0.0.1, 2019-08-02 13:01:53, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000279
127.0.0.1, 2019-08-02 13:06:02, GET, /, HTTP/1.1, 303, 0.000427
127.0.0.1, 2019-08-02 13:06:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.015313
127.0.0.1, 2019-08-02 13:06:02, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000186
127.0.0.1, 2019-08-02 13:06:41, GET, /, HTTP/1.1, 200, 0.117155
127.0.0.1, 2019-08-02 13:06:41, GET, /autorizador/static/images/background.jpg, HTTP/1.1, 404, 0.000310
127.0.0.1, 2019-08-02 13:08:20, GET, /, HTTP/1.1, 200, 0.019435
127.0.0.1, 2019-08-02 13:08:20, GET, /autorizador/static/images/background.jpg, HTTP/1.1, 404, 0.000237
127.0.0.1, 2019-08-02 13:10:18, GET, /, HTTP/1.1, 500, 0.083760
127.0.0.1, 2019-08-02 13:10:20, GET, /admin/default/ticket/autorizador/127.0.0.1.2019-08-02.13-10-18.0d742b80-fa33-4b5d-8931-28d67531761f, HTTP/1.1, 303, 0.078776
127.0.0.1, 2019-08-02 13:10:20, GET, /admin, HTTP/1.1, 200, 0.019171
127.0.0.1, 2019-08-02 13:10:20, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000346
127.0.0.1, 2019-08-02 13:10:22, POST, /admin, HTTP/1.1, 303, 0.006075
127.0.0.1, 2019-08-02 13:10:22, GET, /admin/default/ticket/autorizador/127.0.0.1.2019-08-02.13-10-18.0d742b80-fa33-4b5d-8931-28d67531761f, HTTP/1.1, 200, 0.038115
127.0.0.1, 2019-08-02 13:10:57, GET, /, HTTP/1.1, 500, 0.037354
127.0.0.1, 2019-08-02 13:10:59, GET, /admin/default/ticket/autorizador/127.0.0.1.2019-08-02.13-10-57.35214dd1-2956-4ded-a200-30577420da82, HTTP/1.1, 200, 0.017969
127.0.0.1, 2019-08-02 13:11:15, GET, /, HTTP/1.1, 200, 0.028536
127.0.0.1, 2019-08-02 13:11:15, GET, /autorizador/static/images/background.jpg, HTTP/1.1, 404, 0.000407
127.0.0.1, 2019-08-02 13:13:11, GET, /painel, HTTP/1.1, 404, 0.013449
127.0.0.1, 2019-08-02 13:13:16, GET, /painel/index, HTTP/1.1, 404, 0.011180
127.0.0.1, 2019-08-02 13:13:26, GET, /, HTTP/1.1, 200, 0.017058
127.0.0.1, 2019-08-02 13:13:26, GET, /autorizador/static/images/background.jpg, HTTP/1.1, 404, 0.000273
127.0.0.1, 2019-08-02 13:13:28, GET, /admin/peek/autorizador/controllers/default.py, HTTP/1.1, 200, 0.025506
127.0.0.1, 2019-08-02 13:13:31, GET, /, HTTP/1.1, 200, 0.039807
127.0.0.1, 2019-08-02 13:13:39, GET, /autorizador/painel/index, HTTP/1.1, 404, 0.008546
127.0.0.1, 2019-08-02 13:14:13, GET, /autorizador/painel/index, HTTP/1.1, 404, 0.017675
127.0.0.1, 2019-08-02 13:14:18, GET, /painel/index, HTTP/1.1, 404, 0.012232
127.0.0.1, 2019-08-02 13:14:31, GET, /, HTTP/1.1, 200, 0.110362
127.0.0.1, 2019-08-02 13:14:31, GET, /autorizador/static/images/background.jpg, HTTP/1.1, 404, 0.000374
127.0.0.1, 2019-08-02 13:14:46, GET, /painel/index, HTTP/1.1, 200, 0.012943
127.0.0.1, 2019-08-02 13:21:37, GET, /, HTTP/1.1, 200, 0.520020
127.0.0.1, 2019-08-02 13:21:37, GET, /autorizador/static/images/favicon.png, HTTP/1.1, 200, 0.000575
127.0.0.1, 2019-08-02 13:21:37, GET, /autorizador/static/images/favicon.ico, HTTP/1.1, 200, 0.000340
127.0.0.1, 2019-08-02 13:21:37, GET, /autorizador/static/images/background.jpg, HTTP/1.1, 404, 0.000280
127.0.0.1, 2019-08-02 13:33:22, GET, /, HTTP/1.1, 200, 0.108791
127.0.0.1, 2019-08-02 13:33:49, GET, /painel/teste2, HTTP/1.1, 200, 0.011320
127.0.0.1, 2019-08-02 13:49:11, GET, /, HTTP/1.1, 200, 0.102752
127.0.0.1, 2019-08-02 13:49:11, GET, /favicon.ico, HTTP/1.1, 404, 0.000295
127.0.0.1, 2019-08-02 13:51:29, GET, /, HTTP/1.1, 200, 0.106977
127.0.0.1, 2019-08-02 13:51:29, GET, /autorizador/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000444
127.0.0.1, 2019-08-02 13:51:29, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000951
127.0.0.1, 2019-08-02 13:58:40, GET, /, HTTP/1.1, 200, 0.085424
127.0.0.1, 2019-08-02 13:58:41, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 200, 0.000502
127.0.0.1, 2019-08-02 13:58:41, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000618
127.0.0.1, 2019-08-02 13:58:41, GET, /autorizador/static/images/visie.gif, HTTP/1.1, 200, 0.000362
127.0.0.1, 2019-08-02 13:59:36, GET, /, HTTP/1.1, 200, 0.009260
127.0.0.1, 2019-08-02 13:59:36, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000378
127.0.0.1, 2019-08-02 14:21:11, GET, /, HTTP/1.1, 200, 0.103690
127.0.0.1, 2019-08-02 14:21:11, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 304, 0.000462
127.0.0.1, 2019-08-02 14:21:21, GET, /, HTTP/1.1, 200, 0.019034
127.0.0.1, 2019-08-02 14:21:21, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000917
127.0.0.1, 2019-08-02 14:21:21, GET, /autorizador/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000577
127.0.0.1, 2019-08-02 14:21:21, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 200, 0.000495
127.0.0.1, 2019-08-02 14:21:22, GET, /autorizador/static/images/visie.gif, HTTP/1.1, 200, 0.000353
127.0.0.1, 2019-08-02 14:21:44, GET, /, HTTP/1.1, 200, 0.024839
127.0.0.1, 2019-08-02 14:21:44, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001012
127.0.0.1, 2019-08-02 14:21:44, GET, /autorizador/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000660
127.0.0.1, 2019-08-02 14:21:44, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 200, 0.000952
127.0.0.1, 2019-08-02 14:21:44, GET, /autorizador/static/images/visie.gif, HTTP/1.1, 200, 0.000302
127.0.0.1, 2019-08-02 14:22:29, GET, /, HTTP/1.1, 200, 0.029225
127.0.0.1, 2019-08-02 14:22:30, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001450
127.0.0.1, 2019-08-02 14:22:30, GET, /autorizador/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000754
127.0.0.1, 2019-08-02 14:22:30, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 200, 0.000426
127.0.0.1, 2019-08-02 14:22:30, GET, /autorizador/static/images/visie.gif, HTTP/1.1, 200, 0.000367
127.0.0.1, 2019-08-02 14:23:00, GET, /, HTTP/1.1, 200, 0.026601
127.0.0.1, 2019-08-02 14:23:00, GET, /autorizador/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000617
127.0.0.1, 2019-08-02 14:23:00, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001568
127.0.0.1, 2019-08-02 14:23:00, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 200, 0.000429
127.0.0.1, 2019-08-02 14:23:01, GET, /autorizador/static/images/visie.gif, HTTP/1.1, 200, 0.000607
127.0.0.1, 2019-08-02 14:23:17, GET, /, HTTP/1.1, 200, 0.021086
127.0.0.1, 2019-08-02 14:23:17, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000596
127.0.0.1, 2019-08-02 14:23:17, GET, /autorizador/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000664
127.0.0.1, 2019-08-02 14:23:17, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 200, 0.000493
127.0.0.1, 2019-08-02 14:23:17, GET, /autorizador/static/images/visie.gif, HTTP/1.1, 200, 0.000585
127.0.0.1, 2019-08-02 14:23:22, GET, /, HTTP/1.1, 200, 0.028685
127.0.0.1, 2019-08-02 14:23:22, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001163
127.0.0.1, 2019-08-02 14:23:22, GET, /autorizador/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001011
127.0.0.1, 2019-08-02 14:23:22, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 200, 0.000413
127.0.0.1, 2019-08-02 14:23:23, GET, /autorizador/static/images/visie.gif, HTTP/1.1, 200, 0.000519
127.0.0.1, 2019-08-02 14:24:36, GET, /, HTTP/1.1, 200, 0.030474
127.0.0.1, 2019-08-02 14:24:36, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000956
127.0.0.1, 2019-08-02 14:24:36, GET, /autorizador/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000661
127.0.0.1, 2019-08-02 14:24:36, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 200, 0.000362
